Feature,Type,Coefficient,Importance
country_DE,Category,0.2663480650980481,0.2663480650980481
jonathan,Text,0.26593221087471824,0.26593221087471824
show,Text,-0.2659008055659352,0.2659008055659352
assembly,Text,-0.2657836251936217,0.2657836251936217
timeless,Text,0.2657265918943465,0.2657265918943465
project earth,Text,0.26559449091999765,0.26559449091999765
multiple,Text,0.26548165028727766,0.26548165028727766
standing,Text,-0.26539248016006145,0.26539248016006145
vortex,Text,-0.2653707752238156,0.2653707752238156
wright,Text,-0.26536077918370776,0.26536077918370776
illness,Text,-0.26523145308700546,0.26523145308700546
main_category_Dance,Category,0.2650704264835121,0.2650704264835121
purple,Text,-0.2649955687182397,0.2649955687182397
trust,Text,0.2649571509979596,0.2649571509979596
bicycle,Text,0.26489889654973114,0.26489889654973114
year anniversary,Text,0.2648753414964719,0.2648753414964719
urban,Text,-0.2647601316748854,0.2647601316748854
guy,Text,-0.26474158092173766,0.26474158092173766
extraordinary,Text,0.2646436574760897,0.2646436574760897
ashley,Text,0.2645167594336077,0.2645167594336077
featuring,Text,-0.264375662827798,0.264375662827798
entrepreneur,Text,-0.2643334636842437,0.2643334636842437
next step,Text,0.2640879625910733,0.2640879625910733
contemporary,Text,-0.2640808905910544,0.2640808905910544
said,Text,-0.2640026939491576,0.2640026939491576
operation,Text,-0.26387502814859004,0.26387502814859004
end,Text,-0.2636771768600499,0.2636771768600499
since,Text,-0.2635474307623997,0.2635474307623997
wordpress,Text,-0.2632726146621421,0.2632726146621421
